pref_id;pref_name;year;month;year_month;date;n_m;n_f;n_total;ln_ratio_mf;;u_rate;n_ei_insured;n_care_need_2to5;n_ltc_facility_users;share_75plus;z_u_rate;z_ln_ei;z_ln_need;z_ln_fac;z_oldshare75;moy;t_index;ln_ei;ln_need;ln_fac
11;Saitama;2014;1;201401;2014-01-01;4;19;23;-1.46633706879343;;3.7;1345500;131510;38965;0.097;1.46627717042593;1.06878534078731;1.33153004444896;1.44565021776341;-2.4295924139388;1;0;14.1122762491491;11.786838173336;10.5704190862777
12;Chiba;2014;1;201401;2014-01-01;2;13;15;-1.68639895357023;;3.2;1070189;122893;33159;0.106;0.77279262189744;0.796987407096624;1.22880468365512;1.18584730190001;-1.99510841410955;1;0;13.8833458263539;11.7190693370565;10.4090694519791
13;Tokyo;2014;1;201401;2014-01-01;52;110;162;-0.74420235136023;;3.7;8961143;276396;68312;0.105;1.46627717042593;3.3199705656805;2.4574080023273;2.34964345924522;-2.04338441409057;1;0;16.0084083437794;12.5295898989909;11.1318407255874
14;Kanagawa;2014;1;201401;2014-01-01;19;27;46;-0.343771539102824;;3.6;1976179;185237;48958;0.101;1.32758026072023;1.52516412221941;1.85077904093567;1.81325403077888;-2.23648841401468;1;0;14.4966757402317;12.1293913652573;10.7987180666786
15;Niigata;2014;1;201401;2014-01-01;3;15;18;-1.48807705542983;;3.6;699558;74673;24725;0.152;1.32758026072023;0.292237220041699;0.473629990742108;0.713258856917459;0.225587585017729;1;0;13.4582039860191;11.2208738600005;10.1155701564909
16;Toyama;2014;1;201401;2014-01-01;1;12;13;-2.12026353620009;;2.9;348622;33464;11685;0.145;0.356701892780346;-0.534636348542813;-0.74304046651083;-0.493589866383664;-0.112344414849466;1;0;12.7617435196579;10.418225513122;9.36606124697296
17;Ishikawa;2014;1;201401;2014-01-01;2;6;8;-0.955511445027436;;3.1;350068;30597;10872;0.129;0.634095712191742;-0.529722101085605;-0.878809844808154;-0.609708895710693;-0.884760414545909;1;0;12.7658827003089;10.3286572439186;9.29394595583098
18;Fukui;2014;1;201401;2014-01-01;1;4;5;-1.09861228866811;;2.5;239552;22788;8106;0.145;-0.198085746042444;-0.980114070622519;-1.32547333041671;-1.08243719042335;-0.112344414849466;1;0;12.3865257912641;10.0339893606003;9.00035980718825
19;Yamanashi;2014;1;201401;2014-01-01;2;0;2;1.6094379124341;;2.9;199801;23171;6490;0.138;0.356701892780346;-1.1955391989782;-1.30020852834786;-1.44044915318941;-0.450276414716659;1;0;12.2050771501891;10.0506567757527;8.77801780969814
20;Nagano;2014;1;201401;2014-01-01;1;11;12;-2.03688192726104;;3.3;583511;60435;19050;0.151;0.911489531603137;0.0768871703020929;0.152957995867943;0.293406448899473;0.177311585036701;1;0;13.2768185822877;11.0093236862936;9.85482238055485
21;Gifu;2014;1;201401;2014-01-01;3;6;9;-0.619039208406224;;2.8;546693;51323;15523;0.129;0.218004983074649;-0.000493001195585208;-0.0947715843963928;-0.0362699589445613;-0.884760414545909;1;0;13.2116426807038;10.8458942737631;9.65007807402644
22;Shizuoka;2014;1;201401;2014-01-01;5;17;22;-1.15745278869104;;2.8;1090859;83368;28686;0.127;0.218004983074649;0.819699750386666;0.640591447864545;0.952523346971843;-0.981312414507964;1;0;13.902476017233;11.3310198216723;10.2641644778542
23;Aichi;2014;1;201401;2014-01-01;16;33;49;-0.708185057924486;;2.8;2608259;137808;39344;0.101;0.218004983074649;1.85464744132419;1.40243785947459;1.46123629966733;-2.23648841401468;1;0;14.7741935069137;11.833616691029;10.580098764456
24;Mie;2014;1;201401;2014-01-01;0;5;5;-2.39789527279837;;2.2;457692;50382;14947;0.131;-0.614176475159537;-0.211456785788062;-0.122821874364645;-0.09715460714091;-0.788208414583853;1;0;13.0339517477911;10.8273892474116;9.61226588978581
25;Shiga;2014;1;201401;2014-01-01;1;3;4;-0.847297860387204;;3.1;352773;30798;8156;0.109;0.634095712191742;-0.520583389700935;-0.868884576672434;-1.07253563443769;-1.85028041416646;1;0;12.7735800695739;10.3352050317884;9.00650913169435
26;Kyoto;2014;1;201401;2014-01-01;4;13;17;-1.09861228866811;;3.9;701477;73329;20686;0.123;1.74367098983732;0.295489582187138;0.446099036430339;0.426069736811063;-1.17441641443208;1;0;13.4609433911019;11.2027114440114;9.93721242193775
27;Osaka;2014;1;201401;2014-01-01;15;51;66;-1.20074178374449;;4.9;3303851;223496;48722;0.111;3.1306400868943;2.13532053654093;2.13538551865383;1.80547342827975;-1.75372841420441;1;0;15.0105993157538;12.3171487957839;10.7938859524443
28;Hyogo;2014;1;201401;2014-01-01;5;22;27;-1.40876721697195;;3.9;1294058;126657;37485;0.121;1.74367098983732;1.02250311200402;1.27453483312698;1.3832990603391;-1.27096841439413;1;0;14.0732935752951;11.7492379243328;10.5316961319372
29;Nara;2014;1;201401;2014-01-01;1;2;3;-0.510825623765991;;3.4;220325;33849;10168;0.125;1.05018644130883;-1.07944756479427;-0.725700663409857;-0.717503025024629;-1.07786441447002;1;0;12.3028590079679;10.4296647358066;9.22700081286929
30;Wakayama;2014;1;201401;2014-01-01;0;0;0;0 ;;3.1;226901;33195;9461;0.152;0.634095712191742;-1.04453042200893;-0.755274607643638;-0.833545018261577;0.225587585017729;1;0;12.3322690779861;10.4101545411533;9.15493336470444
31;Tottori;2014;1;201401;2014-01-01;1;5;6;-1.29928298413026;;2.7;152363;18877;6136;0.156;0.0793080733689514;-1.517350824421;-1.6108868327076;-1.53076362491729;0.41869158494184;1;0;11.9340211106061;9.84569952876873;8.72192834304709
